ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-03-12,417.5566367767565,404.160237634076,426.3736365003117,417.5566367767565,417.5566367767565,-2.38911814112612,-2.38911814112612,-2.38911814112612,-2.38911814112612,-2.38911814112612,-2.38911814112612,0.0,0.0,0.0,415.16751863563036
2024-03-13,417.92407721769007,405.03724400213906,427.4683478008435,417.92407721769007,417.92407721769007,-2.177900276662479,-2.177900276662479,-2.177900276662479,-2.177900276662479,-2.177900276662479,-2.177900276662479,0.0,0.0,0.0,415.7461769410276
2024-03-14,418.29151765862366,405.8441544753762,427.38008944617405,418.29151765862366,418.29151765862366,-2.225048782493013,-2.225048782493013,-2.225048782493013,-2.225048782493013,-2.225048782493013,-2.225048782493013,0.0,0.0,0.0,416.06646887613067
2024-03-15,418.6589580995573,407.0049034943612,429.9713667962925,418.6589580995573,418.6589580995573,-0.7265034817043013,-0.7265034817043013,-0.7265034817043013,-0.7265034817043013,-0.7265034817043013,-0.7265034817043013,0.0,0.0,0.0,417.932454617853
2024-03-18,419.7612794223581,407.12798377884167,429.9500358727566,419.7612794223581,419.7612794223581,-1.6053414442405023,-1.6053414442405023,-1.6053414442405023,-1.6053414442405023,-1.6053414442405023,-1.6053414442405023,0.0,0.0,0.0,418.1559379781176
2024-03-19,420.12871986329174,406.5299666203151,429.04415034835796,420.12871986329174,420.12871986329174,-2.3891181411215427,-2.3891181411215427,-2.3891181411215427,-2.3891181411215427,-2.3891181411215427,-2.3891181411215427,0.0,0.0,0.0,417.73960172217016
2024-03-20,420.4961600224502,406.54803572469035,428.7262689221625,420.4961600224502,420.4961600224502,-2.177900276653627,-2.177900276653627,-2.177900276653627,-2.177900276653627,-2.177900276653627,-2.177900276653627,0.0,0.0,0.0,418.3182597457966
2024-03-21,420.8636001816088,407.259669844507,430.5121861803915,420.8636001816088,420.8636001816088,-2.225048782500819,-2.225048782500819,-2.225048782500819,-2.225048782500819,-2.225048782500819,-2.225048782500819,0.0,0.0,0.0,418.63855139910794
2024-03-22,421.23104034076727,408.91420266408534,431.685894276643,421.23104034076727,421.23104034076727,-0.7265034817003824,-0.7265034817003824,-0.7265034817003824,-0.7265034817003824,-0.7265034817003824,-0.7265034817003824,0.0,0.0,0.0,420.5045368590669
2024-03-26,422.70080097740123,408.25023901858924,430.976099783783,422.70080097740123,422.70080097740123,-2.3891181411303237,-2.3891181411303237,-2.3891181411303237,-2.3891181411303237,-2.3891181411303237,-2.3891181411303237,0.0,0.0,0.0,420.3116828362709
2024-03-27,423.0682411365597,409.73113721094535,432.2210438546288,423.0682411365597,423.0682411365597,-2.1779002766580913,-2.1779002766580913,-2.1779002766580913,-2.1779002766580913,-2.1779002766580913,-2.1779002766580913,0.0,0.0,0.0,420.89034085990164
2024-03-28,423.4356812957182,409.59418299632244,432.0146108021727,423.4356812957182,423.4356812957182,-2.225048782487339,-2.225048782487339,-2.225048782487339,-2.225048782487339,-2.225048782487339,-2.225048782487339,0.0,0.0,0.0,421.21063251323085
2024-04-01,424.90544193235223,411.90497024023045,434.7556492719862,424.90544193235223,424.90544193235223,-1.6053414442378795,-1.6053414442378795,-1.6053414442378795,-1.6053414442378795,-1.6053414442378795,-1.6053414442378795,0.0,0.0,0.0,423.30010048811437
2024-04-02,425.2728820915107,411.4258011062829,434.05911166130045,425.2728820915107,425.2728820915107,-2.38911814112085,-2.38911814112085,-2.38911814112085,-2.38911814112085,-2.38911814112085,-2.38911814112085,0.0,0.0,0.0,422.8837639503899
2024-04-03,425.6403220947569,412.46343224174166,434.4782661197815,425.6403220947569,425.6403220947569,-2.177900276641344,-2.177900276641344,-2.177900276641344,-2.177900276641344,-2.177900276641344,-2.177900276641344,0.0,0.0,0.0,423.46242181811556
2024-04-04,426.00776209800307,412.53094252994856,434.2603365932505,426.00776209800307,426.00776209800307,-2.225048782495144,-2.225048782495144,-2.225048782495144,-2.225048782495144,-2.225048782495144,-2.225048782495144,0.0,0.0,0.0,423.7827133155079
2024-04-05,426.3752021012492,414.2301134981837,437.1130508328569,426.3752021012492,426.3752021012492,-0.7265034817214711,-0.7265034817214711,-0.7265034817214711,-0.7265034817214711,-0.7265034817214711,-0.7265034817214711,0.0,0.0,0.0,425.64869861952775
2024-04-08,427.47752211098776,414.4642690446023,436.4637020048612,427.47752211098776,427.47752211098776,-1.6053414442526932,-1.6053414442526932,-1.6053414442526932,-1.6053414442526932,-1.6053414442526932,-1.6053414442526932,0.0,0.0,0.0,425.87218066673506
2024-04-09,427.8449621142339,414.4695711006265,436.113382629992,427.8449621142339,427.8449621142339,-2.3891181411162727,-2.3891181411162727,-2.3891181411162727,-2.3891181411162727,-2.3891181411162727,-2.3891181411162727,0.0,0.0,0.0,425.4558439731176
2024-04-10,428.2124021174801,414.7231686127457,438.1600034077707,428.2124021174801,428.2124021174801,-2.1779002766591273,-2.1779002766591273,-2.1779002766591273,-2.1779002766591273,-2.1779002766591273,-2.1779002766591273,0.0,0.0,0.0,426.034501840821
